"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","심장장애",영덕군,4,4,3,5,5,3,2,5,7,6
"장애유형","심장장애",청도군,9,8,8,9,9,10,11,13,12,11
"장애유형","심장장애",고령군,2,2,2,1,1,1,2,2,3,5
"장애유형","심장장애",성주군,5,5,4,6,6,5,7,8,11,11
"장애유형","심장장애",칠곡군,14,12,11,11,13,9,9,17,15,16
"장애유형","심장장애",예천군,3,4,5,6,5,5,7,8,7,7
"장애유형","심장장애",봉화군,-,-,-,1,2,2,2,3,3,1
"장애유형","심장장애",울진군,5,6,6,5,6,5,4,9,9,14
"장애유형","심장장애",울릉군,1,1,1,2,1,1,1,1,2,2
"장애유형","호흡기장애",포항시,102,103,109,109,108,109,104,99,107,110
"장애유형","호흡기장애",경주시,66,75,73,67,66,65,69,72,75,87
"장애유형","호흡기장애",김천시,30,34,35,31,37,38,38,39,41,40
"장애유형","호흡기장애",안동시,36,42,41,32,32,32,33,39,37,40
"장애유형","호흡기장애",구미시,60,59,57,57,56,56,57,61,60,64
"장애유형","호흡기장애",영주시,33,39,39,38,40,42,38,42,40,43
"장애유형","호흡기장애",영천시,25,25,20,21,25,26,27,26,25,26
"장애유형","호흡기장애",상주시,22,28,30,36,42,40,37,36,38,47
"장애유형","호흡기장애",문경시,39,35,35,42,45,45,45,44,47,52
"장애유형","호흡기장애",경산시,47,42,44,42,41,36,39,38,40,42
"장애유형","호흡기장애",군위군,3,3,2,5,5,4,6,7,7,7
"장애유형","호흡기장애",의성군,22,22,23,21,21,18,18,19,18,22
"장애유형","호흡기장애",청송군,12,11,10,11,14,13,11,11,12,14
"장애유형","호흡기장애",영양군,4,4,6,5,6,5,6,5,8,8
"장애유형","호흡기장애",영덕군,16,14,19,16,16,16,17,19,25,30
"장애유형","호흡기장애",청도군,17,18,16,16,14,16,16,12,15,17
"장애유형","호흡기장애",고령군,6,7,8,8,9,10,14,15,15,14
"장애유형","호흡기장애",성주군,8,9,8,6,8,9,7,10,12,11
"장애유형","호흡기장애",칠곡군,29,30,29,28,26,26,25,28,27,31
"장애유형","호흡기장애",예천군,29,22,23,23,27,31,32,34,37,35
"장애유형","호흡기장애",봉화군,9,9,11,9,8,8,10,10,12,12
"장애유형","호흡기장애",울진군,19,17,18,19,17,14,14,15,17,19
"장애유형","호흡기장애",울릉군,-,-,2,2,1,1,1,1,2,2
"장애유형","간장애",포항시,170,167,161,159,156,149,139,129,120,114
"장애유형","간장애",경주시,77,76,69,68,61,56,59,57,51,42
"장애유형","간장애",김천시,46,44,41,42,37,39,36,30,29,28
"장애유형","간장애",안동시,73,62,58,57,55,51,49,41,39,39
"장애유형","간장애",구미시,108,107,105,98,92,85,79,74,70,66
"장애유형","간장애",영주시,50,45,46,44,41,40,37,34,32,30
"장애유형","간장애",영천시,38,34,31,32,26,18,19,20,19,16
"장애유형","간장애",상주시,38,37,36,34,32,24,22,22,19,18
"장애유형","간장애",문경시,43,39,38,37,33,31,25,23,20,21
"장애유형","간장애",경산시,75,75,70,72,66,63,52,45,34,31
"장애유형","간장애",군위군,7,8,8,9,8,7,7,5,5,4
"장애유형","간장애",의성군,19,18,14,15,12,11,9,7,9,7
"장애유형","간장애",청송군,20,18,17,17,17,13,12,12,10,10
"장애유형","간장애",영양군,11,11,11,12,10,10,10,11,8,7
"장애유형","간장애",영덕군,14,15,16,13,14,11,9,9,10,9
"장애유형","간장애",청도군,21,22,21,22,21,17,15,11,9,7
"장애유형","간장애",고령군,19,18,14,14,15,13,13,13,12,10
"장애유형","간장애",성주군,31,32,30,28,22,21,18,13,10,10
"장애유형","간장애",칠곡군,28,28,26,26,26,20,19,16,13,14
