"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","신장장애",하동군,120,118,107,110,100,106,95,85,83,73,76,77
"장애유형별","신장장애",산청군,84,87,88,88,93,92,84,77,81,71,68,61
"장애유형별","신장장애",함양군,94,87,90,87,81,83,79,71,69,64,57,56
"장애유형별","신장장애",거창군,191,180,166,165,162,144,140,129,123,115,112,102
"장애유형별","신장장애",합천군,118,116,105,107,101,93,80,76,72,70,64,69
"장애유형별","심장장애",창원시,75,82,82,83,76,79,77,74,74,78,93,106
"장애유형별","심장장애",진주시,26,26,24,19,24,24,23,24,24,25,21,22
"장애유형별","심장장애",통영시,5,5,6,7,8,6,6,8,7,8,7,8
"장애유형별","심장장애",사천시,6,7,7,8,8,10,9,8,8,8,9,10
"장애유형별","심장장애",김해시,48,43,41,39,36,34,31,31,33,29,32,24
"장애유형별","심장장애",밀양시,10,13,13,11,9,10,12,11,14,17,17,19
"장애유형별","심장장애",거제시,18,17,14,14,12,13,13,12,14,16,13,16
"장애유형별","심장장애",양산시,43,42,41,43,42,41,40,37,29,33,32,37
"장애유형별","심장장애",의령군,0,0,,,0,0,,0,1,2,5,3
"장애유형별","심장장애",함안군,6,6,6,6,4,4,5,5,5,4,5,7
"장애유형별","심장장애",창녕군,8,7,8,7,8,8,10,10,9,12,12,11
"장애유형별","심장장애",고성군,4,5,5,5,6,4,4,5,5,4,5,7
"장애유형별","심장장애",남해군,5,5,4,4,7,6,6,6,6,7,8,6
"장애유형별","심장장애",하동군,6,5,4,3,3,3,4,4,6,6,9,10
"장애유형별","심장장애",산청군,1,2,1,1,1,2,2,2,,0,1,2
"장애유형별","심장장애",함양군,3,7,6,4,4,4,4,4,5,4,3,3
"장애유형별","심장장애",거창군,6,6,5,4,4,6,6,5,5,5,5,6
"장애유형별","심장장애",합천군,8,8,9,10,10,9,7,7,7,8,8,8
"장애유형별","호흡기",창원시,184,180,189,177,178,173,167,174,172,170,173,175
"장애유형별","호흡기",진주시,78,81,85,84,85,84,84,86,97,91,95,93
"장애유형별","호흡기",통영시,14,16,18,22,19,22,21,24,24,29,27,30
"장애유형별","호흡기",사천시,18,21,22,20,18,21,17,23,29,29,32,32
"장애유형별","호흡기",김해시,97,96,108,109,101,104,104,106,105,101,96,98
"장애유형별","호흡기",밀양시,39,45,38,36,37,35,37,36,33,31,37,44
"장애유형별","호흡기",거제시,55,58,59,59,61,61,56,56,54,55,58,52
"장애유형별","호흡기",양산시,102,97,95,93,91,94,104,99,101,97,97,98
"장애유형별","호흡기",의령군,7,11,12,12,13,14,15,13,16,14,14,15
"장애유형별","호흡기",함안군,21,26,24,21,22,23,23,22,23,21,18,19
"장애유형별","호흡기",창녕군,17,19,18,17,17,20,23,23,23,22,24,23
"장애유형별","호흡기",고성군,16,16,16,18,20,19,18,17,17,20,22,23
"장애유형별","호흡기",남해군,24,22,26,26,24,24,25,27,25,20,24,29
"장애유형별","호흡기",하동군,21,21,20,22,26,26,27,27,33,33,33,38
"장애유형별","호흡기",산청군,12,13,15,15,15,14,13,13,12,13,11,11
"장애유형별","호흡기",함양군,6,8,11,9,10,10,12,13,11,12,12,12
"장애유형별","호흡기",거창군,18,19,17,19,19,18,14,14,14,16,16,16
"장애유형별","호흡기",합천군,13,17,19,25,17,14,14,14,17,19,18,19
"장애유형별","간",창원시,280,266,247,231,218,204,190,179,172,152,138,132
"장애유형별","간",진주시,108,96,94,85,78,76,72,61,54,60,55,49
"장애유형별","간",통영시,36,35,32,35,34,33,30,26,21,25,23,22
"장애유형별","간",사천시,43,44,41,36,34,29,30,29,24,26,31,27
"장애유형별","간",김해시,113,104,101,98,93,89,78,73,66,61,56,53
"장애유형별","간",밀양시,41,43,38,44,40,35,31,26,20,16,16,14
"장애유형별","간",거제시,68,65,57,56,56,50,44,40,45,42,38,33
"장애유형별","간",양산시,117,116,120,110,102,96,88,79,64,57,47,46
"장애유형별","간",의령군,10,11,12,9,11,12,14,14,10,9,9,8
"장애유형별","간",함안군,21,20,19,21,23,21,20,17,19,18,17,13
"장애유형별","간",창녕군,24,26,25,26,24,24,22,23,16,14,14,13
"장애유형별","간",고성군,19,14,15,13,11,11,10,12,14,10,11,8
"장애유형별","간",남해군,11,8,11,12,11,10,9,7,6,7,7,10
"장애유형별","간",하동군,24,22,20,19,17,19,15,17,18,16,19,17
"장애유형별","간",산청군,18,17,17,17,16,15,15,16,13,10,10,11
"장애유형별","간",함양군,18,16,16,15,16,18,13,14,15,15,14,15
"장애유형별","간",거창군,30,29,28,24,21,19,19,14,15,13,9,8
"장애유형별","간",합천군,18,17,18,15,14,13,10,10,9,8,9,8
"장애유형별","안면",창원시,57,55,56,54,56,60,58,60,55,56,58,58
"장애유형별","안면",진주시,17,17,18,17,18,18,18,17,16,16,15,16
"장애유형별","안면",통영시,11,10,11,12,11,11,13,14,15,14,14,16
"장애유형별","안면",사천시,10,10,10,10,11,12,11,11,12,13,14,12
"장애유형별","안면",김해시,32,32,31,31,32,32,32,32,32,34,29,30
"장애유형별","안면",밀양시,7,7,7,8,8,10,9,9,9,9,11,10
"장애유형별","안면",거제시,14,13,13,15,14,14,18,16,17,20,18,20
"장애유형별","안면",양산시,18,16,16,15,16,15,13,13,15,14,16,18
"장애유형별","안면",의령군,1,1,1,3,2,2,3,3,3,3,3,4
"장애유형별","안면",함안군,4,4,4,4,5,5,5,5,5,5,5,5
"장애유형별","안면",창녕군,5,5,4,4,3,3,2,2,3,3,3,2
"장애유형별","안면",고성군,4,4,4,4,3,2,2,2,3,3,4,3
"장애유형별","안면",남해군,3,3,3,3,3,3,3,3,3,3,3,4
"장애유형별","안면",하동군,7,8,8,8,7,7,7,9,10,9,8,8
"장애유형별","안면",산청군,3,3,3,3,3,3,3,2,2,2,2,2
"장애유형별","안면",함양군,1,1,1,1,1,2,1,1,1,1,1,1
"장애유형별","안면",거창군,3,3,3,2,1,1,2,1,2,2,2,2
"장애유형별","안면",합천군,8,8,8,7,7,7,8,8,7,7,8,9
"장애유형별","장루요루",창원시,304,292,287,267,247,239,238,217,216,213,206,215
"장애유형별","장루요루",진주시,103,102,96,96,95,97,96,99,106,101,97,99
"장애유형별","장루요루",통영시,45,46,37,37,40,43,40,40,41,43,37,34
"장애유형별","장루요루",사천시,36,31,32,32,28,32,32,34,35,35,33,32
"장애유형별","장루요루",김해시,145,141,137,131,118,114,109,101,105,96,88,82
"장애유형별","장루요루",밀양시,67,70,67,67,60,59,57,53,53,51,50,41
"장애유형별","장루요루",거제시,77,76,69,68,61,62,59,56,53,48,51,46
"장애유형별","장루요루",양산시,118,121,114,117,120,114,105,105,99,90,79,72
"장애유형별","장루요루",의령군,20,21,22,21,19,19,19,16,16,15,14,13
"장애유형별","장루요루",함안군,20,18,17,19,19,17,17,19,21,20,20,19
"장애유형별","장루요루",창녕군,26,25,28,33,32,28,34,29,27,28,29,27
"장애유형별","장루요루",고성군,26,27,28,23,24,25,24,19,16,14,13,13
"장애유형별","장루요루",남해군,29,29,31,33,30,33,34,33,30,28,26,28
"장애유형별","장루요루",하동군,34,35,32,32,33,35,33,36,34,34,33,32
"장애유형별","장루요루",산청군,17,17,16,16,19,18,20,24,22,25,25,23
"장애유형별","장루요루",함양군,23,24,22,25,22,22,21,23,21,20,19,16
"장애유형별","장루요루",거창군,29,31,27,26,24,28,25,24,23,21,20,20
"장애유형별","장루요루",합천군,24,25,29,28,30,27,28,27,26,29,28,30
"장애유형별","뇌전증",창원시,131,129,132,120,119,116,119,118,115,114,114,114
"장애유형별","뇌전증",진주시,47,41,44,43,40,40,42,39,37,37,37,38
"장애유형별","뇌전증",통영시,22,19,20,16,14,20,20,18,19,19,20,25
"장애유형별","뇌전증",사천시,21,22,25,27,25,24,21,21,22,21,19,21
"장애유형별","뇌전증",김해시,54,60,63,58,55,54,52,48,50,49,45,52
"장애유형별","뇌전증",밀양시,14,16,20,20,21,24,23,25,21,22,24,23
"장애유형별","뇌전증",거제시,14,17,18,18,18,15,18,16,15,16,17,17
"장애유형별","뇌전증",양산시,34,34,34,32,33,31,33,33,33,32,31,32
"장애유형별","뇌전증",의령군,5,6,6,6,6,6,4,4,4,5,7,7
"장애유형별","뇌전증",함안군,6,6,6,5,5,7,5,4,5,6,6,6
"장애유형별","뇌전증",창녕군,6,9,10,9,7,7,7,7,7,9,12,13
"장애유형별","뇌전증",고성군,11,12,13,13,12,13,10,10,7,8,6,7
"장애유형별","뇌전증",남해군,8,9,9,10,10,10,10,9,9,11,11,11
"장애유형별","뇌전증",하동군,11,12,11,10,10,9,7,6,6,7,7,10
"장애유형별","뇌전증",산청군,6,8,8,7,7,6,6,6,6,8,8,9
"장애유형별","뇌전증",함양군,4,4,5,5,4,4,4,6,6,7,5,3
"장애유형별","뇌전증",거창군,8,5,8,8,5,5,5,6,5,6,5,5
"장애유형별","뇌전증",합천군,7,7,8,9,10,9,10,9,11,9,13,13
