"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"구미시",403883,404820,405506,408110,412581,416328,419742,421494,421799,419891,419915,420320,419428,416949
"영주시",97162,98870,100199,100749,101942,103119,105067,106801,108371,109247,109735,110780,112625,113547
"영천시",95185,98143,100212,101088,101888,102015,102470,101595,100615,100521,100648,100689,100778,101798
"상주시",89888,91850,93858,94823,95566,97228,100688,100297,100947,101799,102374,102892,103346,104182
"문경시",65348,67257,68755,70373,71154,71406,72242,71874,73294,74702,75784,75911,75664,75899
"경산시",263853,266398,266205,267725,268369,263728,263185,261093,259485,258037,256888,253968,248805,246358
"군위군",-,-,-,23340,22945,23256,23843,23919,24215,24171,24126,24170,24172,24119
"의성군",47902,48690,50086,50186,50632,51724,52595,52944,53474,54014,54477,55212,56064,57043
"청송군",23363,23716,24019,24295,24539,25044,25416,25678,26006,26301,26384,26453,26470,26481
"영양군",15941,15328,15661,16022,16320,16692,16993,17356,17479,17713,17898,18197,18297,18208
"영덕군",32698,33210,34055,34650,35314,36313,37361,38108,38529,39052,39191,39586,40142,40257
"청도군",40117,40582,41316,41614,41891,42263,42910,43057,43346,43564,43724,43993,43788,43968
"고령군",29667,30062,30139,30353,30626,31361,32373,32969,33768,34257,34594,35033,35198,35343
"성주군",40720,41452,42086,42566,42842,43414,44015,44672,45138,45205,45029,44981,45067,45127
"칠곡군",104842,107383,110581,112487,113822,114758,117047,118828,120864,123199,122829,122058,121182,119786
"예천군",53887,54609,55325,55755,55739,55613,55100,53274,49253,46166,44674,45104,45573,46027
"봉화군",28315,28836,29603,30139,30762,31494,32150,32843,33259,33539,33808,34023,33894,33934
"울진군",45896,46124,46669,47030,47858,48716,49314,50036,50974,51738,51885,52104,51953,51844
"울릉군",8696,9099,9077,8996,8867,9077,9617,9832,9975,10001,10153,10264,10524,10673
"경상남도",3207383,3228380,3251158,3280493,3314183,3340216,3362553,3373988,3380404,3373871,3364702,3350257,3333820,3319314
"창원시",990898,999858,1009038,1021487,1032741,1036738,1044740,1053601,1057032,1063907,1070064,1075168,1083731,1091471
"의창구",207141,209695,213342,215823,218027,262408,258582,252896,253349,252435,256471,258250,255816,255394
"성산구",246904,244489,245259,248512,251562,214570,220945,227337,227942,231571,234399,238414,242870,246801
